series,country,code,yr2000,yr2001,yr2002,yr2003,yr2004,yr2005,yr2006,yr2007,yr2008,yr2009,yr2010,yr2011,yr2012,yr2013,yr2014,yr2015
Energy use (kg of oil equivalent per capita),Greece,GRC,2506.6399477022,2578.11210543197,2597.7482892623,2666.45363728453,2711.46678988431,2753.05120068472,2742.62996079439,2734.75583458456,2745.49345851777,2649.66120066261,2482.11011603727,2407.76273606811,2403.23047211089,2128.01066937973,2123.89789112844,2182.07109345882
Energy use (kg of oil equivalent per capita),Greenland,GRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Energy use (kg of oil equivalent per capita),Grenada,GRD,0,0,0,0,676.893242958938,719.922722219184,735.461025105552,732.885760301117,0,0,0,0,0,0,0,0
Energy use (kg of oil equivalent per capita),Guam,GUM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Energy use (kg of oil equivalent per capita),Guatemala,GTM,601.895501227945,600.554646665478,591.698235841434,601.394141806994,605.751658298849,595.972654787204,592.620257896433,623.470777993619,585.375252580269,658.661523588399,703.05636259913,736.877241310681,733.770180309718,782.786326184966,842.895727351423,0
Energy use (kg of oil equivalent per capita),Guinea,GIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Energy use (kg of oil equivalent per capita),Guinea-Bissau,GNB,0,0,0,0,63.7243315058282,62.9711526978072,63.5906233506182,65.4727199297581,0,0,0,0,0,0,0,0
Energy use (kg of oil equivalent per capita),Guyana,GUY,0,0,0,0,628.2642854707,650.533437418683,658.791039387799,660.623284856797,0,0,0,0,0,0,0,0
Energy use (kg of oil equivalent per capita),Haiti,HTI,242.112783448115,242.901480359672,268.270249653767,253.193867700954,256.753700760572,375.899280377051,380.526816832567,392.048005312112,390.531765835597,389.692805086205,387.275236262424,396.362587070939,404.403933316855,400.896387742872,400.345408158593,0
Energy use (kg of oil equivalent per capita),Honduras,HND,454.707999196689,477.30576222852,483.66900091211,512.439787937234,538.730679871774,549.582762519297,521.574588550461,598.574334654193,580.511887109619,544.189983295276,545.556126924155,592.492690487289,588.008985808041,584.917695227891,590.835144887159,0
Energy use (kg of oil equivalent per capita),"Hong Kong SAR, China",HKG,2039.05416354089,2109.68038365876,1949.17275841106,2009.21836928745,1872.470258716,1844.49040098632,1932.9096848522,2058.5975160129,2006.29854264279,2107.36633776962,1946.64616611144,2087.21166355563,1994.71559838324,1943.8454359303,1970.48412753302,0
Energy use (kg of oil equivalent per capita),Hungary,HUN,2448.14033846536,2512.67485022934,2520.1524657709,2580.20749584977,2579.29172092696,2731.03970282733,2713.25708419014,2658.03637311079,2636.64677330211,2478.10169965029,2568.94899141732,2500.32135857711,2365.55369652841,2271.94720512779,2314.49643377954,2432.75179142028
Energy use (kg of oil equivalent per capita),Iceland,ISL,11091.5488700414,10589.466185677,10804.6417156193,10731.3286428273,10524.2507035888,10524.8774997135,12734.0066231706,14746.0313384644,16353.8312739829,16911.07978361,17023.1668244031,18157.598099143,17630.0714650968,18178.139014838,17916.1204205433,17478.8930368937
Energy use (kg of oil equivalent per capita),India,IND,416.756204632952,414.895773472936,419.62655661617,422.288427293148,437.238153908638,447.013376100043,463.200214132936,482.05764194188,498.544624608199,541.160906278325,557.497786111126,572.98220885027,593.113685158946,598.787504384904,628.482276958207,0
Energy use (kg of oil equivalent per capita),Indonesia,IDN,720.369553020697,727.132877794512,743.975400436659,736.276643692843,774.982863017479,778.643103213409,786.463974188992,772.487879422196,777.617865858864,829.998798454213,861.154360278094,819.014453808223,838.871821669715,850.157168896871,871.119668503777,0
Energy use (kg of oil equivalent per capita),"Iran, Islamic Rep.",IRN,1852.2253513128,1978.78971870443,2029.87091104264,2074.58393522462,2214.54804148854,2403.89312285779,2458.8588297424,2559.41558535563,2709.68182356792,2671.10831363566,2638.59968094896,2657.62496638646,2730.8486091446,2747.8157907624,2908.82501169142,0
Energy use (kg of oil equivalent per capita),Iraq,IRQ,1063.01963113743,1151.93004638493,1061.33514241542,946.262160034197,946.452914179981,930.400541435471,871.478794675033,893.792908587386,948.787506252797,1095.98962759121,1208.27018112784,1276.09284340146,1362.75891593846,1398.90970999396,1353.78613205522,0
