series,country,code,yr2000,yr2001,yr2002,yr2003,yr2004,yr2005,yr2006,yr2007,yr2008,yr2009,yr2010,yr2011,yr2012,yr2013,yr2014,yr2015
GDP per capita (current US$),Monaco,MCO,81789.0206522549,82402.7809570189,90051.4459877468,111110.451312249,125160.228087598,130538.742587117,143083.461107202,184558.556593338,204263.797114294,169150.267344616,161853.920622244,179363.984221513,165444.651378771,184940.663804718,195693.570738894,170437.101188261
GDP per capita (current US$),Mongolia,MNG,476.02755082717,524.453483552485,570.249213248399,643.168068921658,794.154552001815,994.90010913241,1329.89179579053,1627.68787743359,2127.42678594737,1703.32756790019,2625.21881402433,3736.04201455077,4328.89001905655,4340.14310544449,4126.23975800524,3838.92126989984
GDP per capita (current US$),Montenegro,MNE,1627.06511911987,1909.59870186179,2106.6350684523,2789.15906483509,3380.16512135859,3674.6179242797,4425.67887307803,5976.39414454596,7367.75190910882,6727.10776676969,6688.40259641346,7328.78943085498,6586.39970256684,7188.86361611271,7387.87296917548,6517.19267514764
GDP per capita (current US$),Morocco,MAR,1499.107421875,1506.24523925781,1596.02062988281,1941.87255859375,2183.55541992188,2242.98828125,2438.12646484375,2755.5859375,3183.20043945313,3119.58862304688,3067.9853515625,3301.98876953125,3164.17724609375,3379.7431640625,3435.40698242188,3146.24780273438
GDP per capita (current US$),Mozambique,MOZ,327.12623979157,304.792138621913,313.886661721198,339.488737800648,400.056973161545,436.773856167384,457.487647833183,507.874923914304,592.159111184122,547.697144193651,496.185839392659,618.17649286789,685.685748199513,686.505672517351,697.142680444123,610.563774706589
GDP per capita (current US$),Myanmar,MMR,196.619580625284,141.525660705722,146.598390364449,224.292688912409,224.508811413327,252.685193060728,303.495087119254,419.375780725042,658.442487229705,758.442935789255,1010.53417343401,1213.62898703376,1202.6658960055,1199.09561597055,1293.00042298704,1166.73305546288
GDP per capita (current US$),Namibia,NAM,2156.67590512714,1915.58926594875,1772.07565537493,2569.24739317883,3403.15496192955,3685.77299991587,4017.1834716928,4379.04313682732,4204.78555422749,4302.91374148376,5418.21633365814,5834.7917675794,5942.64680978673,5346.62131149967,5378.32326241205,4774.10650865775
GDP per capita (current US$),Nauru,NRU,2648.60152860938,2232.30874026726,2084.64824520971,2463.28259078079,3040.51349889,2992.40382776926,2910.14145794684,2272.15291307045,3756.84531228766,4410.56764668962,4735.92000502092,6480.90451339597,9817.36872216004,8974.51886874433,9193.09784447237,7703.43149943923
GDP per capita (current US$),Nepal,NPL,223.830289183078,240.795114544664,238.89140296106,246.429706587633,279.587750044428,309.024168339372,340.431796437968,385.449767660642,464.817391891529,473.078751198621,585.278491984574,785.518656222132,788.202937148377,803.269595420477,821.455224911731,875.543635474862
GDP per capita (current US$),Netherlands,NLD,26225.1697734149,26955.7128032278,29446.5330872868,35896.7504630706,40611.3414353091,42165.396168388,45123.5432406426,52100.7996285947,58246.7026905874,53172.0261581418,51305.7338533973,54701.7728030611,50473.9442002689,52602.2860520766,53457.2234864322,45793.8135434697
GDP per capita (current US$),New Caledonia,NCL,15329.7297200058,14482.3606263602,16104.5520406819,20768.1061488848,24475.6488547037,25528.2918353444,28193.2537573387,35177.6535261448,35723.9033194947,33836.494080472,35798.9084757829,38835.9401851385,35559.5672006157,36671.1566752621,37816.9558599295,30858.7237060533
GDP per capita (current US$),New Zealand,NZL,13641.1027183822,13882.8568268586,16874.1874918196,21913.7081719961,25420.234882944,27751.0654708859,26654.5932018985,32479.9817381467,31252.9625640673,28209.3623271229,33676.7741239925,38388.5280906616,39974.2997334925,42977.388040868,44578.2253868016,38639.3501941427
